Item,Location Name,County,Street,City ,Phone Number,Fees/Specifics,Website
Telephone Books,"Gordon Waste Company, Inc.",Lancaster, 199 Bridge St, Columbia,1-888-684-2201,All Grades of Paper ,www.gordonwaste.com
Telephone Books,Lancaster County Solid Waste Management Authority,Lancaster, 1299 Harrisburg Pike, Lancaster,717-397-9968,Newspaper ,www.lcswma.org
Telephone Books,Packaging Corp. of America,Lancaster, 1530 Fruitville Pike, Lancaster,717-397-3591,Corrugated Containers ,www.packagingcorp.com
Telephone Books,R. Davis Enterprises,Lancaster, 1909 Cloveleaf Rd, Mt Joy,717-361-2281,Corrugated Containers ,www.ronthebagman.com
Telephone Books,Ram Corporation,Lancaster, 15 Lititz Run Rd, Lititz,717-626-2181,"Corrugated Containers, Magazines, Newspapers, Office Paper, White Ledger Paper ",www.ram-corporation.com
Telephone Books,"Reliable Industries, LLC",Lancaster, 15 Lititz Run Rd, Lititz,717-397-7695,"Corrugated Containers, Fiber Drums, Chipboard ",WWW.RELBOX.COM
Televisions,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,"Covered devices: desktop computers, laptops, monitors, computer peripherals (keyboard, mouse, printer and speakers), televisions and e-readers. Limit of 10 total covered devices per customer, per day
E-waste: photo cameras, video cameras, cell phones and smart phones, cell phone peripherals (chargers, batteries, Bluetooth earpiece, air cards, clips, cases), DVD and VCR players, MP3 players and iPods, PDA's, portable electronic game players, video game consoles, stereos and stereo peripherals (CD players, turntables, amplifiers, speakers). No wooden speakers. Limit of 10 total e-waste items per customer, per day",http://www.lcswma.org/lcswma_facilities_hhw.cfm
Thermostats,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Tires,ECORE International,Lancaster, 715 Fountain Ave, Lancaster,1-800-322-1923,"6"" or Smaller Tire Chips/Shreds ",www.ecoreintl.com
Tires,Lancaster County Solid Waste Management Authority,Lancaster, 1299 Harrisburg Pike, Lancaster,717-397-9968,Whole Tires ,www.lcswma.org
Tires,Mats From Flats,Lancaster, 82 Fox Hollow Rd, Pequea,717-284-3094,Rubber Tires,
Toner/Laser Cartridges,Laser Plus,Lancaster, 205 Granite Run Dr STE 120, Lancaster,717-397-1377,Laser Toner Cartridges ,WWW.LASERPLUSUSA.COM
Wood,Kingdom BioFuel LLC,Lancaster, 1989 Lancaster Pike Peach Bottom, PA ,717-344-5429,Sawdust ,http://kingdombiofuel.com
Wood,Lancaster County Solid Waste Management Authority,Lancaster, 1299 Harrisburg Pike, Lancaster,717-397-9968,Wood Pallets ,www.lcswma.org
Wood,Martin Mulch Products,Lancaster, 55 Woodcrest Dr, Ephrata,717-733-1602,Clean Untreated Wood ,
Wood,Mt Airy Lumber Company,Lancaster, 209 Mt Airy Rd, New Providence,717-786-7238,Wood Pallets ,www.mtairylumber.com
Wood,Strasburg Pallet Co.,Lancaster, 2940 White Oak Rd, Strasburg,717-687-8131,Wood Pallets ,www.palletcentral.com
Wood,U.S. Recycled Wood Products,Lancaster, 440 Concrete Ave, Leola,717-656-7417,Clean Wood Scraps and Sawdust,www.usrecyclewoodproducts.com
